"pernr","job_code","prior_job_code","job_change_date"
479968,16000004,16000003,"06/11/2017"
756472,16000025,16000025,"06/25/2017"
753748,16000025,16000025,"06/25/2017"
728941,16000025,16000025,"06/25/2017"
730189,24601103,16100019,"06/01/2017"
620554,16100019,16100019,"06/04/2017"
725071,16000025,16000025,"06/25/2017"
732626,24601103,16000025,"06/16/2017"
726484,16100019,16100019,"06/18/2017"
541257,31490721,16200013,"06/01/2017"
623644,16000025,16000025,"06/25/2017"
733947,16200013,16200013,"06/18/2017"
727751,16000025,16000025,"06/11/2017"
723743,16000025,16000025,"06/11/2017"
757285,16000025,16000025,"06/11/2017"
649819,16000025,16200013,"06/25/2017"
666049,24601103,16200013,"06/16/2017"
694845,16000047,16000047,"06/11/2017"
597894,16100019,16200013,"06/04/2017"
679537,16100019,16100019,"06/04/2017"
706807,16100020,16100020,"06/18/2017"
731345,16000025,16000025,"06/25/2017"
731679,16000025,16000025,"06/25/2017"
710343,16200013,16000025,"06/04/2017"
678922,16200013,16200013,"06/18/2017"
721534,24601103,16200013,"06/01/2017"
716469,24501151,16000025,"06/16/2017"
684496,24601103,16000025,"06/16/2017"
685079,16000025,16000025,"06/25/2017"
665969,24601103,16100019,"06/16/2017"
686218,16100019,16100019,"06/18/2017"
753419,16200013,16200013,"06/18/2017"
616554,24501151,16000025,"06/01/2017"
649451,24101011,16100007,"06/01/2017"
757919,16000025,16000025,"06/25/2017"
758334,16100019,16100019,"06/04/2017"
730498,16000025,16000025,"06/25/2017"
717822,16100019,16000025,"06/04/2017"
705518,24601103,16000025,"06/01/2017"
714571,16000025,16000025,"06/25/2017"
685682,16100016,16100019,"06/18/2017"
639771,24601103,16100019,"06/01/2017"
595811,16000025,24601103,"06/11/2017"
431080,16200013,16200013,"06/04/2017"
684404,24601103,16000025,"06/01/2017"
756038,16000025,16000025,"06/25/2017"
597974,24601103,16200013,"06/16/2017"
757447,16200013,16200013,"06/18/2017"
712890,16000025,16000025,"06/11/2017"
632142,16200021,14000100,"06/18/2017"
722830,16000025,16200013,"06/11/2017"
720234,16200013,16200013,"06/18/2017"
558703,16000025,16000025,"06/11/2017"
688050,16000047,16000047,"06/25/2017"
711797,16000025,16000025,"06/25/2017"
726342,16000025,16000025,"06/11/2017"
735694,16000025,16000025,"06/25/2017"
735209,16000025,16000025,"06/25/2017"
734631,16200013,16200013,"06/18/2017"
685535,16100019,16200013,"06/04/2017"
756396,16000025,16000025,"06/25/2017"
702829,16000025,16000025,"06/25/2017"
756947,16100019,16100019,"06/04/2017"
758402,16100019,16100019,"06/04/2017"
546964,24601103,16000025,"06/01/2017"
676492,16200014,16200014,"06/18/2017"
712428,24601103,16000025,"06/16/2017"
708306,16100019,16100019,"06/18/2017"
704209,16200013,16200007,"06/18/2017"
715084,16100019,16100019,"06/18/2017"
727641,16400016,16400016,"06/04/2017"
721186,16200013,16200013,"06/04/2017"
757254,16000025,16000025,"06/11/2017"
756044,16100019,16100019,"06/04/2017"
608240,16000025,16000025,"06/25/2017"
480118,31490721,16000012,"06/01/2017"
628214,24601103,16000025,"06/16/2017"
460975,24601103,16200013,"06/01/2017"
599827,24601103,16200013,"06/01/2017"
704363,16200013,16200014,"06/18/2017"
650753,24601103,16200013,"06/16/2017"
712737,24601103,16000025,"06/16/2017"
732713,16000025,16000025,"06/25/2017"
736016,16100019,16100019,"06/04/2017"
595810,16000025,24601103,"06/25/2017"
699843,16100019,16100019,"06/18/2017"
705396,16000029,16000029,"06/11/2017"
717513,24601103,16100019,"06/01/2017"
666773,16200013,24601103,"06/18/2017"
734240,16000025,16000025,"06/25/2017"
494828,16100019,16100019,"06/18/2017"
394134,16200013,24601103,"06/18/2017"
759564,16000025,16000025,"06/25/2017"
725615,24601103,16000025,"06/16/2017"
328220,16000025,16000025,"06/25/2017"
735213,16000025,16000025,"06/11/2017"
718270,16000025,16000025,"06/25/2017"
453889,24601103,16100019,"06/01/2017"
680868,24601103,16000025,"06/16/2017"
753031,16000025,16000025,"06/25/2017"
757948,16000025,16000025,"06/25/2017"
415646,24601103,16000025,"06/01/2017"
612762,16000025,16000025,"06/25/2017"
729510,16000025,16000025,"06/11/2017"
679058,16100007,16000047,"06/18/2017"
734259,16100019,16100019,"06/18/2017"
672176,24601103,16000025,"06/16/2017"
680207,24601103,16000025,"06/16/2017"
669972,16000025,16000025,"06/25/2017"
757515,16000025,16000025,"06/11/2017"
646511,16000025,16000025,"06/11/2017"
752466,16200013,16200013,"06/18/2017"
727068,16000025,16000025,"06/25/2017"
733164,16100019,16100019,"06/18/2017"
587694,16100019,16100019,"06/04/2017"
643724,24601103,16000025,"06/16/2017"
619667,24601103,16000025,"06/01/2017"
752541,16000025,16000025,"06/11/2017"
708433,16200013,16200013,"06/04/2017"
751881,16100019,16100019,"06/18/2017"
731993,16300019,16300019,"06/18/2017"
684410,38885002,16000029,"06/16/2017"
645272,24601103,16000025,"06/01/2017"
730309,16000025,16000025,"06/11/2017"
732355,16000025,16000025,"06/25/2017"
757224,16000025,16000025,"06/11/2017"
673525,16000029,16000029,"06/11/2017"
616087,16000025,16000025,"06/11/2017"
712739,24601103,16000025,"06/16/2017"
637410,16100020,16100020,"06/04/2017"
576204,16000025,16000025,"06/11/2017"
619288,24601103,16000025,"06/16/2017"
719604,16200013,16200013,"06/18/2017"
462432,16200014,16200013,"06/18/2017"
733207,16000025,16000025,"06/25/2017"
636081,16000025,16000025,"06/11/2017"
733375,16100019,16100019,"06/04/2017"
752395,16000025,16000025,"06/11/2017"
713486,16000025,16000025,"06/11/2017"
694747,16200013,16200013,"06/18/2017"
646621,16000025,16000025,"06/25/2017"
436611,16000025,16000025,"06/25/2017"
585856,16200013,24601138,"06/04/2017"
